timestamp,user_id,song_id,artist_name,genre,device_type,song_duration_s
2023-12-01 08:01:15,user_105,song_301,Luna Bloom,Pop,Mobile,185
2023-12-01 08:03:45,user_102,song_402,The Midnight Echoes,Rock,Desktop,210
2023-12-01 08:05:20,user_105,song_501,DJ ByteFlow,Electronic,Mobile,192
2023-12-01 08:07:55,user_108,song_601,River & Reign,Country,Smart Speaker,175
2023-12-01 08:09:30,user_110,song_702,Solstice Collective,R&B,Mobile,240
2023-12-01 08:11:05,user_101,song_801,Crimson Wave,Rock,Desktop,150
2023-12-01 08:14:10,user_103,song_302,Luna Bloom,Pop,Mobile,198
2023-12-01 08:16:45,user_107,song_901,Neon Dreams,Electronic,Tablet,225
2023-12-01 08:18:20,user_104,song_101,Atlas Rise,Rock,Desktop,165
2023-12-01 08:20:55,user_109,song_201,Echo Valley,Jazz,Smart Speaker,205
2023-12-01 08:22:30,user_106,song_303,Luna Bloom,Pop,Mobile,188
2023-12-01 08:25:05,user_102,song_1101,Starlight Serenade,Classical,Desktop,215
2023-12-01 08:27:40,user_112,song_502,DJ ByteFlow,Electronic,Mobile,195
2023-12-01 08:30:15,user_101,song_403,The Midnight Echoes,Rock,Desktop,178
2023-12-01 08:32:50,user_115,song_602,River & Reign,Country,Mobile,235
2023-12-01 08:34:25,user_105,song_802,Crimson Wave,Rock,Mobile,155
2023-12-01 08:37:00,user_103,song_304,Luna Bloom,Pop,Mobile,201
2023-12-01 08:39:35,user_111,song_703,Solstice Collective,R&B,Tablet,228
2023-12-01 08:41:10,user_108,song_102,Atlas Rise,Rock,Smart Speaker,168
2023-12-01 08:43:45,user_102,song_902,Neon Dreams,Electronic,Desktop,208
2023-12-01 08:46:20,user_107,song_305,Luna Bloom,Pop,Mobile,181
2023-12-01 08:48:55,user_104,song_404,The Midnight Echoes,Rock,Desktop,218
2023-12-01 08:51:30,user_113,song_503,DJ ByteFlow,Electronic,Mobile,193
2023-12-01 08:54:05,user_101,song_603,River & Reign,Country,Desktop,172
2023-12-01 08:56:40,user_114,song_704,Solstice Collective,R&B,Tablet,245
2023-12-01 08:59:15,user_106,song_803,Crimson Wave,Rock,Mobile,148
2023-12-01 09:01:50,user_103,song_306,Luna Bloom,Pop,Mobile,199
2023-12-01 09:04:25,user_110,song_903,Neon Dreams,Electronic,Smart Speaker,231
2023-12-01 09:06:00,user_109,song_103,Atlas Rise,Rock,Mobile,162
2023-12-01 09:08:35,user_105,song_202,Echo Valley,Jazz,Mobile,203
2023-12-01 09:11:10,user_102,song_307,Luna Bloom,Pop,Desktop,186
2023-12-01 09:13:45,user_112,song_1102,Starlight Serenade,Classical,Mobile,212
2023-12-01 09:16:20,user_101,song_504,DJ ByteFlow,Electronic,Desktop,196
2023-12-01 09:18:55,user_115,song_405,The Midnight Echoes,Rock,Mobile,176
2023-12-01 09:21:30,user_108,song_604,River & Reign,Country,Smart Speaker,238
2023-12-01 09:24:05,user_104,song_804,Crimson Wave,Rock,Desktop,152
2023-12-01 09:26:40,user_107,song_308,Luna Bloom,Pop,Mobile,200
2023-12-01 09:29:15,user_111,song_705,Solstice Collective,R&B,Tablet,226
2023-12-01 09:31:50,user_103,song_104,Atlas Rise,Rock,Mobile,166
2023-12-01 09:34:25,user_113,song_904,Neon Dreams,Electronic,Mobile,206
2023-12-01 09:37:00,user_106,song_309,Luna Bloom,Pop,Mobile,189
2023-12-01 09:39:35,user_102,song_406,The Midnight Echoes,Rock,Desktop,216
2023-12-01 09:42:10,user_114,song_505,DJ ByteFlow,Electronic,Tablet,194
2023-12-01 09:44:45,user_101,song_605,River & Reign,Country,Desktop,179
2023-12-01 09:47:20,user_110,song_706,Solstice Collective,R&B,Smart Speaker,236
2023-12-01 09:49:55,user_109,song_805,Crimson Wave,Rock,Mobile,158
2023-12-01 09:52:30,user_105,song_310,Luna Bloom,Pop,Mobile,202
2023-12-01 09:55:05,user_108,song_905,Neon Dreams,Electronic,Smart Speaker,229
2023-12-01 09:57:40,user_104,song_105,Atlas Rise,Rock,Desktop,169
2023-12-01 10:00:15,user_102,song_203,Echo Valley,Jazz,Desktop,209
2023-12-01 10:02:50,user_107,song_311,Luna Bloom,Pop,Mobile,182
2023-12-01 10:05:25,user_112,song_1103,Starlight Serenade,Classical,Mobile,220
2023-12-01 10:08:00,user_101,song_506,DJ ByteFlow,Electronic,Desktop,190
2023-12-01 10:10:35,user_115,song_407,The Midnight Echoes,Rock,Mobile,173
2023-12-01 10:13:10,user_103,song_606,River & Reign,Country,Mobile,242
2023-12-01 10:15:45,user_106,song_806,Crimson Wave,Rock,Mobile,145
2023-12-01 10:18:20,user_111,song_312,Luna Bloom,Pop,Tablet,197
2023-12-01 10:20:55,user_109,song_707,Solstice Collective,R&B,Mobile,232
2023-12-01 10:23:30,user_105,song_106,Atlas Rise,Rock,Mobile,163
2023-12-01 10:26:05,user_108,song_906,Neon Dreams,Electronic,Smart Speaker,204
2023-12-01 10:28:40,user_102,song_313,Luna Bloom,Pop,Desktop,187
2023-12-01 10:31:15,user_113,song_408,The Midnight Echoes,Rock,Mobile,213
2023-12-01 10:33:50,user_104,song_507,DJ ByteFlow,Electronic,Desktop,191
2023-12-01 10:36:25,user_101,song_607,River & Reign,Country,Desktop,177
2023-12-01 10:39:00,user_114,song_708,Solstice Collective,R&B,Tablet,239
2023-12-01 10:41:35,user_107,song_807,Crimson Wave,Rock,Mobile,153
2023-12-01 10:44:10,user_110,song_314,Luna Bloom,Pop,Smart Speaker,207
2023-12-01 10:46:45,user_106,song_907,Neon Dreams,Electronic,Mobile,227
2023-12-01 10:49:20,user_103,song_107,Atlas Rise,Rock,Mobile,167
2023-12-01 10:51:55,user_112,song_204,Echo Valley,Jazz,Mobile,211
2023-12-01 10:54:30,user_109,song_315,Luna Bloom,Pop,Mobile,184
2023-12-01 10:57:05,user_102,song_1104,Starlight Serenade,Classical,Desktop,219
2023-12-01 10:59:40,user_115,song_508,DJ ByteFlow,Electronic,Mobile,180
2023-12-02 11:02:15,user_101,song_409,The Midnight Echoes,Rock,Desktop,170
2023-12-02 11:04:50,user_105,song_608,River & Reign,Country,Mobile,250
2023-12-02 11:07:25,user_108,song_808,Crimson Wave,Rock,Smart Speaker,140
2023-12-02 11:10:00,user_104,song_316,Luna Bloom,Pop,Desktop,222
2023-12-02 11:12:35,user_111,song_709,Solstice Collective,R&B,Tablet,233
